Track,Driver,Compound,TireAge,TrackTemp,AirTemp,Rainfall,LapTime_s
Australian Grand Prix,VER,INTERMEDIATE,8.0,19.1,15.9,0.0,96.83
Australian Grand Prix,VER,INTERMEDIATE,9.0,19.1,15.9,0.0,94.315
Australian Grand Prix,VER,INTERMEDIATE,10.0,19.1,15.9,0.0,92.65
Australian Grand Prix,VER,INTERMEDIATE,11.0,19.1,15.9,0.0,92.453
Australian Grand Prix,VER,INTERMEDIATE,12.0,19.3,16.0,0.0,91.591
Australian Grand Prix,VER,INTERMEDIATE,13.0,19.3,15.9,0.0,91.271
Australian Grand Prix,VER,INTERMEDIATE,14.0,19.3,16.0,1.0,90.639
Australian Grand Prix,VER,INTERMEDIATE,15.0,19.3,16.0,1.0,90.328
Australian Grand Prix,VER,INTERMEDIATE,16.0,19.3,16.0,1.0,90.592
Australian Grand Prix,VER,INTERMEDIATE,17.0,19.3,16.0,1.0,93.392
Australian Grand Prix,VER,INTERMEDIATE,18.0,19.4,16.0,1.0,92.169
Australian Grand Prix,VER,INTERMEDIATE,19.0,19.4,16.0,1.0,91.939
Australian Grand Prix,VER,INTERMEDIATE,20.0,19.4,16.0,1.0,91.598
Australian Grand Prix,VER,INTERMEDIATE,21.0,19.4,16.0,1.0,91.177
Australian Grand Prix,VER,INTERMEDIATE,22.0,19.2,16.0,1.0,91.04
Australian Grand Prix,VER,INTERMEDIATE,23.0,19.2,15.9,1.0,90.686
Australian Grand Prix,VER,INTERMEDIATE,24.0,19.2,15.9,1.0,90.978
Australian Grand Prix,VER,INTERMEDIATE,25.0,19.2,15.7,1.0,90.845
Australian Grand Prix,VER,INTERMEDIATE,26.0,19.2,15.7,1.0,90.293
Australian Grand Prix,VER,INTERMEDIATE,27.0,19.2,15.8,0.0,89.731
Australian Grand Prix,VER,INTERMEDIATE,28.0,19.1,15.7,0.0,89.411
Australian Grand Prix,VER,INTERMEDIATE,29.0,19.1,15.7,0.0,89.043
Australian Grand Prix,VER,INTERMEDIATE,30.0,19.1,15.7,0.0,88.237
Australian Grand Prix,VER,INTERMEDIATE,31.0,19.1,15.7,0.0,88.127
Australian Grand Prix,VER,INTERMEDIATE,32.0,19.1,15.8,0.0,88.208
Australian Grand Prix,VER,MEDIUM,8.0,19.3,16.5,0.0,85.317
Australian Grand Prix,VER,MEDIUM,9.0,19.3,16.6,0.0,83.081
Australian Grand Prix,VER,INTERMEDIATE,6.0,18.7,15.1,0.0,93.864
Australian Grand Prix,VER,INTERMEDIATE,7.0,18.7,15.2,0.0,90.859
Australian Grand Prix,VER,INTERMEDIATE,8.0,18.7,15.6,0.0,89.1
Australian Grand Prix,VER,INTERMEDIATE,9.0,18.7,15.8,0.0,88.538
Australian Grand Prix,VER,INTERMEDIATE,10.0,18.7,16.0,0.0,87.921
Australian Grand Prix,VER,INTERMEDIATE,11.0,18.7,16.1,0.0,87.4
Australian Grand Prix,GAS,INTERMEDIATE,8.0,19.1,15.9,0.0,98.441
Australian Grand Prix,GAS,INTERMEDIATE,9.0,19.1,15.9,0.0,96.062
Australian Grand Prix,GAS,INTERMEDIATE,10.0,19.1,15.9,0.0,95.527
Australian Grand Prix,GAS,INTERMEDIATE,11.0,19.1,15.9,0.0,94.702
Australian Grand Prix,GAS,INTERMEDIATE,12.0,19.3,16.0,0.0,94.227
Australian Grand Prix,GAS,INTERMEDIATE,13.0,19.3,16.0,0.0,93.275
Australian Grand Prix,GAS,INTERMEDIATE,14.0,19.3,16.0,1.0,92.859
Australian Grand Prix,GAS,INTERMEDIATE,15.0,19.3,16.0,1.0,92.744
Australian Grand Prix,GAS,INTERMEDIATE,16.0,19.3,16.0,1.0,92.445
Australian Grand Prix,GAS,INTERMEDIATE,17.0,19.4,16.1,1.0,92.795
Australian Grand Prix,GAS,INTERMEDIATE,18.0,19.4,16.0,1.0,93.124
Australian Grand Prix,GAS,INTERMEDIATE,19.0,19.4,16.1,1.0,92.462
Australian Grand Prix,GAS,INTERMEDIATE,20.0,19.4,16.0,1.0,92.327
Australian Grand Prix,GAS,INTERMEDIATE,21.0,19.4,16.0,1.0,92.323
Australian Grand Prix,GAS,INTERMEDIATE,22.0,19.2,16.0,1.0,92.355
Australian Grand Prix,GAS,INTERMEDIATE,23.0,19.2,15.9,1.0,92.438
Australian Grand Prix,GAS,INTERMEDIATE,24.0,19.2,15.8,1.0,92.035
Australian Grand Prix,GAS,INTERMEDIATE,25.0,19.2,15.7,1.0,91.622
Australian Grand Prix,GAS,INTERMEDIATE,26.0,19.2,15.7,1.0,90.928
Australian Grand Prix,GAS,INTERMEDIATE,27.0,19.2,15.8,1.0,90.635
Australian Grand Prix,GAS,INTERMEDIATE,28.0,19.1,15.7,1.0,90.382
Australian Grand Prix,GAS,INTERMEDIATE,29.0,19.1,15.7,0.0,90.051
Australian Grand Prix,GAS,INTERMEDIATE,30.0,19.1,15.7,0.0,90.124
Australian Grand Prix,GAS,INTERMEDIATE,31.0,19.1,15.8,0.0,89.299
Australian Grand Prix,GAS,INTERMEDIATE,32.0,19.1,15.8,0.0,89.383
Australian Grand Prix,GAS,HARD,9.0,19.3,16.5,0.0,87.942
Australian Grand Prix,GAS,HARD,10.0,19.3,16.6,0.0,85.02
Australian Grand Prix,GAS,INTERMEDIATE,6.0,18.7,15.1,0.0,96.326
Australian Grand Prix,GAS,INTERMEDIATE,7.0,18.7,15.2,0.0,92.297
Australian Grand Prix,GAS,INTERMEDIATE,8.0,18.7,15.6,0.0,94.967
Australian Grand Prix,GAS,INTERMEDIATE,9.0,18.7,15.8,0.0,92.316
Australian Grand Prix,GAS,INTERMEDIATE,10.0,18.7,16.0,0.0,90.866
Australian Grand Prix,GAS,INTERMEDIATE,11.0,18.7,16.1,0.0,91.312
Australian Grand Prix,ANT,INTERMEDIATE,8.0,19.1,15.9,0.0,98.729
Australian Grand Prix,ANT,INTERMEDIATE,9.0,19.1,15.9,0.0,96.312
Australian Grand Prix,ANT,INTERMEDIATE,10.0,19.1,15.9,0.0,95.27
Australian Grand Prix,ANT,INTERMEDIATE,11.0,19.1,15.9,0.0,94.678
